Código región,Código provincia,Código comuna,Años de escolaridad promedio,edad_min,edad_max
1,14.0,1402.0,8,55,59.0
1,14.0,1402.0,6.8,60,64.0
1,14.0,1402.0,6.1,65,69.0
1,14.0,1402.0,6.2,70,74.0
1,14.0,1402.0,4.5,75,79.0
1,14.0,1402.0,3,80,84.0
1,14.0,1402.0,2.5,85,
1,14.0,1403.0,0,0,4.0
1,14.0,1403.0,1.8,5,9.0
1,14.0,1403.0,6,10,14.0
1,14.0,1403.0,10,15,19.0
1,14.0,1403.0,11.6,20,24.0
1,14.0,1403.0,10.6,25,29.0
1,14.0,1403.0,10.6,30,34.0
1,14.0,1403.0,9.6,35,39.0
1,14.0,1403.0,10.4,40,44.0
1,14.0,1403.0,7.3,45,49.0
1,14.0,1403.0,8.7,50,54.0
1,14.0,1403.0,5.6,55,59.0
1,14.0,1403.0,6,60,64.0
1,14.0,1403.0,4.5,65,69.0
1,14.0,1403.0,3.7,70,74.0
1,14.0,1403.0,2.3,75,79.0
1,14.0,1403.0,2.4,80,84.0
1,14.0,1403.0,1.1,85,
1,14.0,1404.0,0,0,4.0
1,14.0,1404.0,1.5,5,9.0
1,14.0,1404.0,6.1,10,14.0
1,14.0,1404.0,10.3,15,19.0
1,14.0,1404.0,11.8,20,24.0
1,14.0,1404.0,12.1,25,29.0
1,14.0,1404.0,11.8,30,34.0
1,14.0,1404.0,11.5,35,39.0
1,14.0,1404.0,10.9,40,44.0
1,14.0,1404.0,10.1,45,49.0
1,14.0,1404.0,10,50,54.0
1,14.0,1404.0,9.4,55,59.0
1,14.0,1404.0,8.5,60,64.0
1,14.0,1404.0,8.4,65,69.0
1,14.0,1404.0,6.5,70,74.0
1,14.0,1404.0,5.7,75,79.0
1,14.0,1404.0,5,80,84.0
1,14.0,1404.0,4.9,85,
1,14.0,1405.0,0,0,4.0
1,14.0,1405.0,1.7,5,9.0
1,14.0,1405.0,6,10,14.0
1,14.0,1405.0,10.5,15,19.0
1,14.0,1405.0,12.2,20,24.0
1,14.0,1405.0,12.4,25,29.0
1,14.0,1405.0,12.7,30,34.0
1,14.0,1405.0,12.8,35,39.0
1,14.0,1405.0,12.3,40,44.0
1,14.0,1405.0,11.6,45,49.0
1,14.0,1405.0,11.6,50,54.0
1,14.0,1405.0,11,55,59.0
1,14.0,1405.0,10.7,60,64.0
1,14.0,1405.0,10.9,65,69.0
1,14.0,1405.0,10,70,74.0
1,14.0,1405.0,8.4,75,79.0
1,14.0,1405.0,7.7,80,84.0
1,14.0,1405.0,8.1,85,
2,21.0,2101.0,0,0,4.0
2,21.0,2101.0,1.5,5,9.0
2,21.0,2101.0,6,10,14.0
2,21.0,2101.0,10.5,15,19.0
2,21.0,2101.0,13,20,24.0
2,21.0,2101.0,13.6,25,29.0
2,21.0,2101.0,13.7,30,34.0
2,21.0,2101.0,13.6,35,39.0
2,21.0,2101.0,13.3,40,44.0
2,21.0,2101.0,13,45,49.0
2,21.0,2101.0,12.6,50,54.0
2,21.0,2101.0,11.9,55,59.0
2,21.0,2101.0,11.4,60,64.0
2,21.0,2101.0,11.1,65,69.0
2,21.0,2101.0,10.7,70,74.0
2,21.0,2101.0,9.8,75,79.0
2,21.0,2101.0,9.1,80,84.0
2,21.0,2101.0,8.2,85,
2,21.0,2102.0,0,0,4.0
2,21.0,2102.0,1.5,5,9.0
2,21.0,2102.0,6.1,10,14.0
2,21.0,2102.0,10.6,15,19.0
2,21.0,2102.0,12.4,20,24.0
2,21.0,2102.0,12.4,25,29.0
2,21.0,2102.0,12.4,30,34.0
2,21.0,2102.0,12.3,35,39.0
2,21.0,2102.0,11.9,40,44.0
2,21.0,2102.0,11.5,45,49.0
2,21.0,2102.0,11.1,50,54.0
2,21.0,2102.0,10.6,55,59.0
2,21.0,2102.0,10,60,64.0
2,21.0,2102.0,9.7,65,69.0
2,21.0,2102.0,8.7,70,74.0
2,21.0,2102.0,8,75,79.0
2,21.0,2102.0,7.1,80,84.0
2,21.0,2102.0,7.4,85,
2,21.0,2103.0,0,0,4.0
2,21.0,2103.0,1.5,5,9.0
2,21.0,2103.0,6.1,10,14.0
2,21.0,2103.0,10.5,15,19.0
2,21.0,2103.0,12.3,20,24.0
2,21.0,2103.0,12.5,25,29.0
2,21.0,2103.0,12.3,30,34.0
2,21.0,2103.0,12.3,35,39.0
2,21.0,2103.0,11,40,44.0
2,21.0,2103.0,11,45,49.0
2,21.0,2103.0,11.1,50,54.0
2,21.0,2103.0,10.4,55,59.0
2,21.0,2103.0,10,60,64.0
2,21.0,2103.0,10.2,65,69.0
