Código región,Código provincia,Código comuna,Grupos de edad,Población censada,Hombres,Mujeres
1,11.0,1101.0,5 a 9,13067.0,6565.0,6502.0
1,11.0,1101.0,10 a 14,14561.0,7482.0,7079.0
1,11.0,1101.0,15 a 19,12905.0,6664.0,6241.0
1,11.0,1101.0,20 a 24,13227.0,6804.0,6423.0
1,11.0,1101.0,25 a 29,16388.0,8211.0,8177.0
1,11.0,1101.0,30 a 34,18187.0,9160.0,9027.0
1,11.0,1101.0,35 a 39,16848.0,8309.0,8539.0
1,11.0,1101.0,40 a 44,15421.0,7586.0,7835.0
1,11.0,1101.0,45 a 49,12846.0,6361.0,6485.0
1,11.0,1101.0,50 a 54,11805.0,5793.0,6012.0
1,11.0,1101.0,55 a 59,10070.0,4878.0,5192.0
1,11.0,1101.0,60 a 64,10067.0,4671.0,5396.0
1,11.0,1101.0,65 a 69,8771.0,4179.0,4592.0
1,11.0,1101.0,70 a 74,6423.0,2985.0,3438.0
1,11.0,1101.0,75 a 79,4192.0,1908.0,2284.0
1,11.0,1101.0,80 a 84,2555.0,1050.0,1505.0
1,11.0,1101.0,85 o más,2287.0,755.0,1532.0
1,11.0,1107.0,0 a 4,10367.0,5294.0,5073.0
1,11.0,1107.0,5 a 9,12749.0,6437.0,6312.0
1,11.0,1107.0,10 a 14,13048.0,6672.0,6376.0
1,11.0,1107.0,15 a 19,12133.0,6297.0,5836.0
1,11.0,1107.0,20 a 24,12308.0,6341.0,5967.0
1,11.0,1107.0,25 a 29,12969.0,6433.0,6536.0
1,11.0,1107.0,30 a 34,13204.0,6606.0,6598.0
1,11.0,1107.0,35 a 39,11283.0,5542.0,5741.0
1,11.0,1107.0,40 a 44,9736.0,4701.0,5035.0
1,11.0,1107.0,45 a 49,7959.0,3834.0,4125.0
1,11.0,1107.0,50 a 54,7330.0,3388.0,3942.0
1,11.0,1107.0,55 a 59,6244.0,3026.0,3218.0
1,11.0,1107.0,60 a 64,5050.0,2456.0,2594.0
1,11.0,1107.0,65 a 69,3400.0,1682.0,1718.0
1,11.0,1107.0,70 a 74,2033.0,986.0,1047.0
1,11.0,1107.0,75 a 79,1206.0,520.0,686.0
1,11.0,1107.0,80 a 84,650.0,284.0,366.0
1,11.0,1107.0,85 o más,417.0,150.0,267.0
1,14.0,1401.0,0 a 4,1155.0,592.0,563.0
1,14.0,1401.0,5 a 9,1427.0,700.0,727.0
1,14.0,1401.0,10 a 14,1471.0,718.0,753.0
1,14.0,1401.0,15 a 19,1326.0,693.0,633.0
1,14.0,1401.0,20 a 24,1338.0,742.0,596.0
1,14.0,1401.0,25 a 29,1328.0,713.0,615.0
1,14.0,1401.0,30 a 34,1328.0,681.0,647.0
1,14.0,1401.0,35 a 39,1344.0,655.0,689.0
1,14.0,1401.0,40 a 44,1152.0,608.0,544.0
1,14.0,1401.0,45 a 49,903.0,438.0,465.0
1,14.0,1401.0,50 a 54,880.0,439.0,441.0
1,14.0,1401.0,55 a 59,764.0,399.0,365.0
1,14.0,1401.0,60 a 64,753.0,402.0,351.0
1,14.0,1401.0,65 a 69,675.0,359.0,316.0
1,14.0,1401.0,70 a 74,447.0,243.0,204.0
1,14.0,1401.0,75 a 79,300.0,148.0,152.0
1,14.0,1401.0,80 a 84,168.0,83.0,85.0
1,14.0,1401.0,85 o más,119.0,54.0,65.0
