Periodo,Comuna,Cantidad_40%,Cantidad_41-50%,Cantidad_51-60%,Cantidad_61-70,Cantidad_71-80%,Cantidad_81-90%,Cantidad_91-100%,Totales_por_comuna
202308,7101,109890,17783,15987,13950,16371,26142,10040,210163
202308,7102,28853,3846,3283,3149,3542,4951,1771,49395
202308,6117,28166,4343,3887,3257,3510,4861,1485,49509
202308,7107,5792,783,657,551,591,735,217,9326
202308,7108,10336,1389,1216,906,860,1008,290,16005
202308,6113,12548,1921,1849,1383,1381,1742,375,21199
202308,6115,36485,5390,4732,4201,4729,6132,1973,63642
202308,6301,40515,6415,6012,5222,6141,8439,2856,75600
202308,6302,10747,1310,1013,847,822,1034,304,16077
202308,6201,12993,2037,1575,1490,1306,2163,676,22240
202308,6203,5693,718,635,459,496,759,248,9008
202308,6204,5071,837,625,609,533,782,230,8687
202308,6206,5296,561,411,315,293,539,157,7572
202308,6303,23283,3286,2790,2339,2476,2946,946,38066
202308,6306,7459,1333,1127,895,953,1132,314,13213
202308,7103,7112,867,666,486,566,720,261,10678
202308,6114,8788,1266,968,833,803,1172,332,14162
202308,6309,2796,417,281,229,268,346,106,4443
202308,7106,6578,998,716,610,466,758,187,10313
202308,7109,32088,3463,3008,2470,2957,3479,1191,48656
202308,6116,14536,2556,2331,2118,2338,2929,955,27763
202308,6202,2586,430,334,269,216,398,114,4347
202308,6205,5116,712,507,485,404,782,253,8259
202308,7308,18791,2933,2469,2017,2102,2407,669,31388
202308,7309,3002,453,283,225,236,313,103,4615
202308,7302,7577,758,584,536,562,762,274,11053
202308,7407,11616,1585,1309,1057,1135,1242,512,18456
202308,7408,14296,1719,1334,1074,1100,1212,437,21172
202308,7403,24089,2924,2342,1924,1785,1949,590,35603
202308,7404,30958,3600,2812,2395,2534,3663,1253,47215
202308,7401,59305,8260,6930,6141,6636,9730,3822,100824
202308,7110,7336,917,756,692,711,812,257,11481
202308,7201,29210,3599,3169,2419,2712,3411,1367,45887
202308,8101,79723,16095,15538,14954,17554,31437,13568,188869
202308,7405,16357,1754,1397,1170,1228,1353,385,23644
202308,7406,30791,4075,3230,2658,3103,3800,1212,48869
202308,7303,4434,624,506,432,507,719,279,7501
202308,7304,29279,4712,3952,3378,3378,3738,1038,49475
202308,7202,6837,775,550,426,431,537,211,9767
202308,7203,6112,785,566,477,402,735,230,9307
202308,7402,16551,1587,1558,1230,1536,1710,696,24868
202308,7306,10985,1450,1226,1048,1042,1415,380,17546
202308,7307,11644,1917,1602,1309,1296,1410,422,19600
202308,7301,88874,13649,11970,10250,11281,16434,6013,158471
202308,7305,7312,991,760,594,613,726,208,11204
202308,8102,63262,11186,10323,8697,10491,13172,4545,121676
202308,8201,17201,2284,1928,1480,1603,2052,845,27393
202308,8202,21176,3068,2825,2639,2996,4325,1625,38654
202308,8111,32656,5029,4619,3712,4240,5686,2055,57997
202308,8112,41195,8296,7855,7247,9087,12570,4765,91015
202308,8206,15926,1921,1730,1279,1592,1877,658,24983
202308,8203,25871,2712,2143,1644,1842,2413,939,37564
202308,8204,4482,525,364,280,312,396,153,6512
202308,8205,17698,3122,3340,2589,2897,2920,1004,33570
202308,8105,15978,2468,2132,1637,1872,2113,579,26779
202308,8207,8920,731,600,399,463,548,190,11851
202308,8103,37365,6637,6219,5686,7135,11033,4100,78175
202308,8104,7701,1101,805,584,679,926,293,12089
202308,8110,63587,12050,12554,11913,15168,21662,8610,145544
202308,8107,25931,4309,4130,3509,4371,5329,1917,49496
202308,8109,9743,1241,1135,851,1127,1187,428,15712
202308,8301,111278,17932,16224,14936,17690,25487,9590,213137
202308,8106,24276,4650,4511,3475,3994,4083,1280,46269
202308,8108,54105,9641,8762,8573,10437,18919,7676,118113
202308,8309,6445,846,777,665,653,690,232,10308
202308,8310,2206,316,339,228,282,399,144,3914
202308,8304,12567,2116,1998,1667,2121,2859,995,24323
202308,8305,19467,2405,2037,1624,2043,2223,699,30498
202308,9104,7672,568,391,369,392,441,194,10027
202308,9105,18563,2426,1820,1315,1358,1376,464,27322
202308,9101,137423,22318,19559,17764,20485,34473,14573,266595
202308,9102,19768,1648,1254,876,1000,1147,380,26073
202308,9103,15144,1570,1117,911,910,1082,348,21082
202308,9107,10370,1216,935,804,872,1114,323,15634
202308,9108,26746,3676,2898,2521,2701,3490,1090,43122
202308,8312,10470,1300,1230,944,1109,1414,490,16957
202308,8306,13964,2392,2207,1769,2408,3028,1091,26859
202308,8302,2867,340,257,241,299,357,149,4510
202308,9109,17556,2019,1735,1274,1383,1556,592,26115
202308,8313,14846,1986,1530,1386,1450,1841,584,23623
202308,8308,3162,345,243,204,279,337,106,4676
202308,8303,18772,2576,2128,1994,2273,2716,1006,31465
202308,9111,24446,2891,2226,1615,1638,1930,599,35345
202308,9106,10633,887,728,457,462,470,155,13792
202308,8311,9405,1199,1099,871,919,1131,415,15039
202308,9110,5961,515,348,257,322,392,160,7955
202308,8314,5768,282,301,215,240,277,106,7189
202308,8307,6937,904,727,740,854,940,367,11469
202308,9209,7002,1067,872,728,802,900,290,11661
202308,9210,13662,1410,1174,921,955,1299,524,19945
202308,9203,13244,1412,1296,1007,1100,1363,521,19943
202308,9204,7441,589,507,351,384,452,141,9865
202308,9207,6998,661,453,349,443,463,178,9545
202308,9211,21227,3102,2619,2060,2393,2995,1101,35497
202308,10101,126057,20468,18717,18192,21685,33957,13403,252479
202308,10102,20805,3476,3054,2490,2776,3138,1022,36761
202308,9112,51661,6985,5478,4423,4569,5623,1920,80659
202308,9113,5219,758,569,394,302,350,121,7713
202308,9115,20540,2817,2409,2071,1989,3428,1101,34355
202308,9116,11692,710,495,351,384,489,153,14274
202308,9117,13659,880,660,455,480,612,238,16984
202308,9119,21178,2506,2005,1681,1976,2227,741,32314
202308,9120,43845,5297,4435,3979,4183,6342,2337,70418
202308,9121,11340,849,705,507,533,556,157,14647
202308,9201,30154,4762,4175,3563,3969,5315,2112,54050
202308,9202,17336,1995,1575,1328,1595,1817,656,26302
202308,9205,9611,572,418,376,517,621,307,12422
202308,9208,9740,786,582,490,619,785,316,13318
202308,10103,2988,316,221,216,276,409,173,4599
202308,10104,8325,1107,863,637,626,779,256,12593
202308,9114,17999,2382,1961,1593,1674,2082,688,28379
202308,9206,5467,630,538,341,405,474,179,8034
202308,9118,7974,615,479,405,442,525,190,10630
202308,10203,9016,1307,1315,1142,1179,1571,492,16022
202308,10201,23161,4189,4059,3877,4060,6296,3076,48718
202308,10301,82007,14245,12474,10899,11955,18028,6548,156156
202308,10302,5747,891,688,514,535,802,214,9391
202308,10208,16175,2521,2528,2195,2297,3001,1095,29812
202308,10209,5627,691,641,522,596,751,243,9071
202308,10210,5045,633,491,407,463,659,286,7984
202308,10205,9885,1353,1080,1111,1093,1498,461,16481
202308,10105,13264,1808,1611,1460,1418,1998,699,22258
202308,10106,12243,1425,1047,923,902,1340,418,18298
202308,10303,12881,1972,1518,1232,1199,1506,461,20769
202308,10304,7236,1147,998,764,710,765,189,11809
202308,10202,25522,3844,3092,2891,2938,4129,1380,43796
202308,10107,9818,1744,1549,1341,1466,1982,624,18524
202308,10108,10965,1007,854,749,833,1228,410,16046
202308,10305,9494,1341,1107,805,957,1103,331,15138
202308,10207,3861,425,324,356,411,422,158,5957
202308,10109,20391,3731,3322,3174,3346,7389,3097,44450
202308,10306,7482,601,431,292,318,386,132,9642
202308,10206,2481,338,292,190,291,304,123,4019
202308,10204,2289,323,295,287,275,406,157,4032
202308,12401,11789,2214,2077,1973,2380,3339,1644,25416
202308,12402,39,25,44,16,33,75,34,266
202308,13101,126560,23662,26721,28622,36304,67681,35102,344652
202308,12101,47403,10134,10276,10549,13327,21053,8631,121373
202308,12102,50,18,27,23,32,51,16,217
202308,12302,107,49,31,65,62,94,53,461
202308,12303,32,11,21,22,27,21,17,151
202308,13103,81248,11915,10787,9488,10385,12288,3508,139619
202308,13104,61565,11405,10827,9428,11010,15429,4456,124120
202308,10307,7677,1117,786,644,608,738,179,11749
202308,10401,2509,473,378,333,358,464,237,4752
202308,10403,7012,694,634,586,637,867,393,10823
202308,11101,28843,4603,4430,3869,4510,7700,4583,58538
202308,11102,528,92,71,53,73,91,35,943
202308,11201,13141,1930,1984,1751,2030,3080,1648,25564
202308,11203,1027,147,152,125,87,158,92,1788
202308,11301,1812,311,338,263,322,436,221,3703
202308,11401,3210,434,454,303,394,523,273,5591
202308,11402,1939,256,208,140,192,254,98,3087
202308,12103,38,11,14,24,24,47,17,175
202308,12104,106,32,33,29,38,59,38,335
202308,13102,38055,6882,6159,5419,6443,10906,3627,77491
202308,10404,1033,135,162,143,134,251,99,1957
202308,11302,316,93,59,65,80,106,117,836
202308,11303,309,57,32,36,33,87,30,584
202308,12201,552,114,98,177,301,408,278,1928
202308,12301,2415,436,515,551,858,1208,706,6689
202308,13105,89011,13286,12087,10418,11845,15606,4634,156887
202308,10402,1569,287,238,277,237,328,155,3091
202308,11202,3172,482,479,382,475,709,361,6060
202308,13110,140186,27305,26039,25224,29769,60248,22352,331123
202308,13107,37191,6217,5722,5072,5824,15052,7251,82329
202308,13118,42488,8717,8269,7989,9997,21205,8654,107319
202308,13114,30047,8185,8005,9900,10940,51091,36024,154192
202308,13115,17669,3705,3470,3531,3379,9930,4210,45894
202308,13111,65930,11146,9679,8428,9167,11843,3482,119675
202308,13119,188640,39035,37577,35975,45220,88961,31055,466463
202308,13117,50212,8835,8017,6775,7730,10526,3145,95240
202308,13108,47697,9155,9480,8933,10483,14994,5157,105899
202308,13120,37226,9266,9556,10590,12375,43125,24379,146517
202308,13112,112763,16786,14304,11361,11861,12458,3053,182586
202308,13113,17156,3709,3873,3864,4504,14623,6203,53932
202308,13109,38535,7028,6736,6674,8368,14767,5027,87135
202308,13106,74775,13722,13354,12813,15237,22808,8451,161160
202308,13116,58689,8518,7480,6172,6759,8059,1975,97652
202308,13121,56273,9889,8327,6859,7683,10634,3168,102833
202308,13129,52569,7934,7484,6679,7850,12568,4355,99439
202308,13128,76222,13046,11515,10441,11598,16200,4592,143614
202308,13201,245973,44657,40683,38308,46945,80656,26240,523462
202308,13130,40054,7678,7838,8418,10797,26287,12871,113943
202308,13131,50425,7532,6372,5398,6164,7745,2238,85874
202308,13124,107256,18591,16432,15412,18405,31237,10397,217730
202308,13122,103532,17177,16018,14038,15340,28976,10188,205269
202308,13123,13915,3522,3610,4526,5227,20482,13225,64507
202308,13127,82220,13457,12471,11577,12505,18374,5996,156600
202308,13125,84668,16773,15698,15118,18944,33696,10583,195480
202308,13126,57515,10454,10155,9314,10884,16701,5586,120609
202308,13132,3367,1039,1143,1347,1427,10656,5276,24255
202308,13402,52328,8043,7123,6421,8249,14627,5167,101958
202308,13403,11141,1853,1616,1431,1552,2979,931,21503
202308,13401,150000,24666,22204,19591,23492,36918,11977,288848
202308,13603,19797,2884,2523,2240,2446,4001,1248,35139
202308,13501,76876,11030,9583,8209,8796,13294,4629,132417
202308,13503,20166,2753,2243,2004,2236,4032,1364,34798
202308,13404,42946,6474,5463,4990,5511,8495,2468,76347
202308,13202,11725,2026,1964,1657,1808,4104,1323,24607
202308,13203,8312,1333,1213,1003,1300,2280,755,16196
202308,13605,40721,7564,6873,6264,7086,12836,4244,85588
202308,14101,78570,12947,12304,11045,13046,20903,8678,157493
202308,13601,38979,5812,5248,4541,5606,9861,3158,73205
202308,13301,62314,9103,7671,6849,8180,17391,6640,118148
202308,13302,53975,7602,6626,6392,7949,16693,5440,104677
202308,13602,22234,2914,2542,2198,2666,3706,1147,37407
202308,13604,33468,5648,5250,4662,5656,10335,3521,68540
202308,13504,8894,1398,1019,864,1055,1627,493,15350
202308,13505,6490,915,749,586,579,933,258,10510
202308,13303,9655,1469,1330,1168,1532,2881,1027,19062
202308,13502,3693,581,520,391,491,1209,451,7336
202308,16101,95507,15653,14438,12681,14422,21569,8754,183024
202308,15101,130462,15782,15935,13585,16699,26229,10851,229543
202308,15201,1039,152,125,78,91,127,71,1683
202308,15202,417,41,15,23,30,18,5,551
202308,16106,9216,977,715,694,643,1020,377,13642
202308,16102,14323,2063,1847,1607,1596,1917,712,24065
202308,16103,19854,2952,2669,2228,2425,2807,1015,33950
202308,16104,9762,943,654,593,579,861,252,13644
202308,14107,14419,1867,1517,1246,1219,1593,531,22392
202308,16108,13274,1219,850,769,781,946,355,18194
202308,14103,12889,1377,1177,999,1148,1520,530,19640
202308,14105,5045,702,496,449,541,539,172,7944
202308,14201,23390,3327,2916,2320,2437,3572,1285,39247
202308,14202,11608,1443,946,838,821,1000,368,17024
202308,14204,20171,2944,2516,1984,2125,2578,869,33187
202308,15102,649,79,96,53,36,106,38,1057
202308,16107,13915,1603,1272,1056,1102,1503,479,20930
