Código región,Código provincia,Código comuna,Grupos de edad,Años de escolaridad promedio
1,14.0,1402.0,50 a 54,9.1
1,14.0,1402.0,55 a 59,8
1,14.0,1402.0,60 a 64,6.8
1,14.0,1402.0,65 a 69,6.1
1,14.0,1402.0,70 a 74,6.2
1,14.0,1402.0,75 a 79,4.5
1,14.0,1402.0,80 a 84,3
1,14.0,1402.0,85 o más,2.5
1,14.0,1403.0,0 a 4,0
1,14.0,1403.0,5 a 9,1.8
1,14.0,1403.0,10 a 14,6
1,14.0,1403.0,15 a 19,10
1,14.0,1403.0,20 a 24,11.6
1,14.0,1403.0,25 a 29,10.6
1,14.0,1403.0,30 a 34,10.6
1,14.0,1403.0,35 a 39,9.6
1,14.0,1403.0,40 a 44,10.4
1,14.0,1403.0,45 a 49,7.3
1,14.0,1403.0,50 a 54,8.7
1,14.0,1403.0,55 a 59,5.6
1,14.0,1403.0,60 a 64,6
1,14.0,1403.0,65 a 69,4.5
1,14.0,1403.0,70 a 74,3.7
1,14.0,1403.0,75 a 79,2.3
1,14.0,1403.0,80 a 84,2.4
1,14.0,1403.0,85 o más,1.1
1,14.0,1404.0,0 a 4,0
1,14.0,1404.0,5 a 9,1.5
1,14.0,1404.0,10 a 14,6.1
1,14.0,1404.0,15 a 19,10.3
1,14.0,1404.0,20 a 24,11.8
1,14.0,1404.0,25 a 29,12.1
1,14.0,1404.0,30 a 34,11.8
1,14.0,1404.0,35 a 39,11.5
1,14.0,1404.0,40 a 44,10.9
1,14.0,1404.0,45 a 49,10.1
1,14.0,1404.0,50 a 54,10
1,14.0,1404.0,55 a 59,9.4
1,14.0,1404.0,60 a 64,8.5
1,14.0,1404.0,65 a 69,8.4
1,14.0,1404.0,70 a 74,6.5
1,14.0,1404.0,75 a 79,5.7
1,14.0,1404.0,80 a 84,5
1,14.0,1404.0,85 o más,4.9
1,14.0,1405.0,0 a 4,0
1,14.0,1405.0,5 a 9,1.7
1,14.0,1405.0,10 a 14,6
1,14.0,1405.0,15 a 19,10.5
1,14.0,1405.0,20 a 24,12.2
1,14.0,1405.0,25 a 29,12.4
1,14.0,1405.0,30 a 34,12.7
1,14.0,1405.0,35 a 39,12.8
1,14.0,1405.0,40 a 44,12.3
1,14.0,1405.0,45 a 49,11.6
1,14.0,1405.0,50 a 54,11.6
1,14.0,1405.0,55 a 59,11
1,14.0,1405.0,60 a 64,10.7
1,14.0,1405.0,65 a 69,10.9
1,14.0,1405.0,70 a 74,10
1,14.0,1405.0,75 a 79,8.4
1,14.0,1405.0,80 a 84,7.7
1,14.0,1405.0,85 o más,8.1
2,21.0,2101.0,0 a 4,0
2,21.0,2101.0,5 a 9,1.5
2,21.0,2101.0,10 a 14,6
2,21.0,2101.0,15 a 19,10.5
2,21.0,2101.0,20 a 24,13
2,21.0,2101.0,25 a 29,13.6
2,21.0,2101.0,30 a 34,13.7
2,21.0,2101.0,35 a 39,13.6
2,21.0,2101.0,40 a 44,13.3
2,21.0,2101.0,45 a 49,13
2,21.0,2101.0,50 a 54,12.6
2,21.0,2101.0,55 a 59,11.9
2,21.0,2101.0,60 a 64,11.4
2,21.0,2101.0,65 a 69,11.1
2,21.0,2101.0,70 a 74,10.7
2,21.0,2101.0,75 a 79,9.8
2,21.0,2101.0,80 a 84,9.1
2,21.0,2101.0,85 o más,8.2
2,21.0,2102.0,0 a 4,0
2,21.0,2102.0,5 a 9,1.5
2,21.0,2102.0,10 a 14,6.1
2,21.0,2102.0,15 a 19,10.6
2,21.0,2102.0,20 a 24,12.4
2,21.0,2102.0,25 a 29,12.4
2,21.0,2102.0,30 a 34,12.4
2,21.0,2102.0,35 a 39,12.3
2,21.0,2102.0,40 a 44,11.9
2,21.0,2102.0,45 a 49,11.5
2,21.0,2102.0,50 a 54,11.1
2,21.0,2102.0,55 a 59,10.6
2,21.0,2102.0,60 a 64,10
2,21.0,2102.0,65 a 69,9.7
2,21.0,2102.0,70 a 74,8.7
2,21.0,2102.0,75 a 79,8
2,21.0,2102.0,80 a 84,7.1
2,21.0,2102.0,85 o más,7.4
2,21.0,2103.0,0 a 4,0
2,21.0,2103.0,5 a 9,1.5
2,21.0,2103.0,10 a 14,6.1
2,21.0,2103.0,15 a 19,10.5
2,21.0,2103.0,20 a 24,12.3
2,21.0,2103.0,25 a 29,12.5
2,21.0,2103.0,30 a 34,12.3
2,21.0,2103.0,35 a 39,12.3
2,21.0,2103.0,40 a 44,11
2,21.0,2103.0,45 a 49,11
2,21.0,2103.0,50 a 54,11.1
2,21.0,2103.0,55 a 59,10.4
2,21.0,2103.0,60 a 64,10
2,21.0,2103.0,65 a 69,10.2
2,21.0,2103.0,70 a 74,6.8
2,21.0,2103.0,75 a 79,6
2,21.0,2103.0,80 a 84,4.9
2,21.0,2103.0,85 o más,5
2,21.0,2104.0,0 a 4,0
2,21.0,2104.0,5 a 9,1.7
2,21.0,2104.0,10 a 14,6.2
2,21.0,2104.0,15 a 19,10.6
2,21.0,2104.0,20 a 24,12.4
2,21.0,2104.0,25 a 29,12.8
2,21.0,2104.0,30 a 34,12.6
2,21.0,2104.0,35 a 39,12.6
2,21.0,2104.0,40 a 44,12.2
2,21.0,2104.0,45 a 49,11.4
2,21.0,2104.0,50 a 54,11.2
2,21.0,2104.0,55 a 59,10
2,21.0,2104.0,60 a 64,9.5
2,21.0,2104.0,65 a 69,9.3
2,21.0,2104.0,70 a 74,8.7
2,21.0,2104.0,75 a 79,7.7
2,21.0,2104.0,80 a 84,7.2
2,21.0,2104.0,85 o más,6.6
2,22.0,2201.0,0 a 4,0
2,22.0,2201.0,5 a 9,1.6
2,22.0,2201.0,10 a 14,6
2,22.0,2201.0,15 a 19,10.6
2,22.0,2201.0,20 a 24,12.7
2,22.0,2201.0,25 a 29,13.3
2,22.0,2201.0,30 a 34,13.4
2,22.0,2201.0,35 a 39,13.4
2,22.0,2201.0,40 a 44,13.1
2,22.0,2201.0,45 a 49,12.7
2,22.0,2201.0,50 a 54,12.4
2,22.0,2201.0,55 a 59,11.7
2,22.0,2201.0,60 a 64,11.1
2,22.0,2201.0,65 a 69,10.6
2,22.0,2201.0,70 a 74,9.7
2,22.0,2201.0,75 a 79,8.2
2,22.0,2201.0,80 a 84,7
2,22.0,2201.0,85 o más,6.1
2,22.0,2202.0,0 a 4,0
2,22.0,2202.0,5 a 9,2.5
2,22.0,2202.0,10 a 14,6.5
2,22.0,2202.0,15 a 19,10.7
2,22.0,2202.0,20 a 24,13.3
2,22.0,2202.0,25 a 29,13.2
2,22.0,2202.0,30 a 34,14.1
2,22.0,2202.0,35 a 39,12.6
2,22.0,2202.0,40 a 44,12.6
2,22.0,2202.0,45 a 49,11.7
2,22.0,2202.0,50 a 54,10.9
2,22.0,2202.0,55 a 59,10.2
2,22.0,2202.0,60 a 64,9.9
2,22.0,2202.0,65 a 69,6.7
2,22.0,2202.0,70 a 74,3
2,22.0,2202.0,75 a 79,3
2,22.0,2202.0,80 a 84,2.4
2,22.0,2202.0,85 o más,0
2,22.0,2203.0,0 a 4,0
2,22.0,2203.0,5 a 9,1.5
